CODIGO,DESCRIPCION,PVP,PVD
06070,Interruptor sencillo + Toma. Block Vimar.,6471,5126
06080,Interruptor triple. Block Vimar. 10A.,9244,7311
06080L.110,Interruptor triple con luz piloto incluida. Block Vimar. 10A.,20672,16303
06081,Interruptor doble + conmutable. Block Vimar. 10A.,9916,7815
06082,Interruptor conmutable doble + sencillo. Block Vimar. 10A.,10588,8319
06083,Interruptor conmutable triple. Block Vimar. 10A.,11261,8908
06099,Modulo Ciego. Block Vimar.,1681,1345
068LUK061,LED Eco Vela 5W. 6.500ï½°K. 100-240V. E27.,9160,7227
07.310.6055.0,Tapa final seccionable,2689,2101
07.310.9653.0,Tapa para caja 01.001.6253.0 Marca WIELA,2941,2353
07.311.0153.0,Tapa final para WK2.5/U y WK4/U gris,1597,1261
07.311.0155.0,"Tapa final para WK2.5/U, y SK4/U beige",1933,1597
07.311.0255.0,"Tapa final para WK6/U, beige",1597,1261
07.311.1155.0,Tapa separadora para WK2.5 y WK4 Beige.,2269,1765
07.311.6655.0,"Tapa final, apra WKN10/U, beige",1597,1261
07.311.6755.0,"Tapa final para WKN16/U, beige",2773,2185
07.311.7855.0,"Tapa separadora para WKN35, beige. Wieland.",3866,3109
07.312.2153.0,Tope final borne APF 2.5-4,1429,1092
07.312.2253.0,Separador borne TWF 2.5-4,1597,1261
07.352.0753.0,"Caja plastica, superior recto para conector de 3 polos + tierra con pr",30840,24286
070-01001,Balasto de sodio reactor.70W.208/220V,21765,17143
09001,Interruptor 1P 16A. Blanco. Neve.,4118,3277
09005,Conmutador 1P 16A. Blanco. Neve.,5714,4538
09008,Pulsador 1P 10A. Blanco. Neve.,5714,4538
09013,Interruptor Cruzado 1P. 16A. Blanco. Neve.,13697,10756
09041,Modulo ciego blanco. Neve.,1008,756
090420,Tomacorriente monofasico doble con polo a tierra 125 V- 15 A .,10420,8235
090427,Tomacorriente monofasico doble con polo a tierra GFCI LEGRAND 125 V -,63697,50168
09044,Salida de cable con sujetacable. Blanco. Neve.,2773,2185
09147,Variador 120V. 30-500W. Blanco. Neve.,57311,45126
09245,Toma Corriente 2P+T 15A. Blanco. Neve.,4874,3782
09246,Toma Corriente Doble + Tierra. Blanco. Neve.,7395,5798
09318,Toma TV. Blanco. Neve.,10756,8487
09320,Toma Telefonico RJ11 6/4. Blanco. Neve.,16807,13277
09613,Soporte 3M + Tornillos. Serie Neve.,1429,1176
09653.01,Placa 3M Blanca. Serie Neve. Blanco.,2857,2269
09653.02,Placa 3M Marfil. Serie Neve.,4034,3193
09653.11,Placa 3M Plata Mate. Serie Neve.,5126,4034
09653.12,Placa 3M Plata Champan Mate. Serie Neve.,5294,4202
09BDL8GCA,BOMBILLO LED GU10 8W 3K 85-265V.,22857,18067
09BDL8GSA,Bombilla de LED de 8W. GU10. 3.000 Kï½° 130 L/W Ac 85-265V,20588,16218
09BDL9ECA,Bombilla de LED 9W. GU10. 3.000ï½°K. 85-265V.,22857,18067
09BDL9ENE,Bombilla de LED de 9W. GU10. 4.000 Kï½° DG Ac 85-265V,22857,18067
09BFLG45E27CA,Bombillo pimpon. 4W. 3.000ï½°K. E27.,5750,4530
09HLED429MV30N,Bolardo de Exterior decorativo LED 9W.  3.000ï½°K. Color negro.,294858,232313
0D6V4J,Licencia win server essential 2016,2855798,2250000
0JL00421CB,SPOT RIEL LED 20W 4.000 Kï½°  90 IRC BL IP20.,275462,216975
100,?Cotizacion Incierto Asignar Detalle,0,0
100.9007.00,Carcaza con tuerca .,6471,5126
1000675-EQUIPOS,Equipos de Automatizacion y Balastos sistema de Iluminacion.,246987227,194596050
1006,Bornera de 3 pines Macho y Hembra,2941,2353
10063274,Pintura en Polvo Suave brillante 22347. Caja de 25Kgm.,1264454,996218
100PAR38-AM,Bombilla reflectora PAR38. Amarilla.,11345,8908
100PAR38-AM-GE,Bombilla 100W. PAR38 Amarilla. GE.,20420,16134
100PAR38-AZ,Bombilla refelctora PAR 38 Azul.,11345,8908
100PAR38FL-PH,Bombilla halogena de 100W. PAR38. Flood. 120V. E-27,25462,20000
100PAR38-R,Bombilla reflectora PAR38 Roja.,11345,8908
100PAR38-V,Bombilla reflectora PAR38 verde.,12101,9496
10115213,Pintura en polvo blanco cremoso 25KG. RAL9010.,1425378,1123025
1018060,Accesorio decorativo para sujetar cable a techo. Incluye tornillo par,1513,1176
1018070,Sujetador de Cable.,3109,2437
1018071,Sujetador de Cable.,2101,1681
1018117,Sujetador de Cable.,1597,1261
1018120,Sujetador de Cable.,3277,2605
1018121,Sujetador de Cable.,3445,2689
1018135,Sujetador de Cable.,1681,1345
10291520,Pintura en Polvo Granulado Mate. Caja de 25Kgm.,504370,397395
103-000019-00,Controlador player. referencia.103-000019-00.,2556807,2014454
10492,Foco piloto 110V. marca VIMAR Italiano,6891,5378
1053.68,Portafusible para C.I para fusible 5x20m,252,252
106-000003-04,"Fuente de poder,referencia. 106-000003-04",625798,493109
107.9202.00,Cierre maneta abatible en zamak.,65462,51597
107-9209.00,Maneta abatible para control de barras planas.,95294,75126
108-000020-01,Cable conexion. referencia. 108-000020-01.,41597,32773
108-000021-00,Cable lider. referencia 108-000021-00.,174370,137395
10984/2,Bornera de 2 pines para circuito impreso,0,0
10984/3,Bornera de 3 pines para circuito impreso,0,0
10HLED762MV30N,"Reflector De Exterior Led Piso/Estaca, 10w, IP65 Luz Cç–ida.",252773,199160
10TLLED2045MV30N,Luminaria LED de Lectura Sobreponer en Pared 3.000ï½°K.,275135,216773
10W12V-G4,Bulbo halogeno 10W. 12V.G4.,1765,1429
10YD101MVB,"BALA DE INCRUSTAR A PRUEBA DE VAPOR (ADRIA I), 7W, 600lm, 4000K, ON/OF",48151,37899
10YDR002MVN,Bala Redonda Recesada Negra. MR16. Socket GU10.,38319,30168
10YSNLED009MV30N,Cilindro LED de 10W. 3.000ï½°K. 120-240V.,194958,153613
